
#################################### NEW YORK ###################################
+--------------------------------------------------+--------------------+--------------------+
|antecedent                                        |consequent          |confidence          |
|[l_STREET]                                        |false               |0.7560908133456229  |
+--------------------------------------------------+--------------------+--------------------+

+--------------------------------------------------+--------------------+--------------------+
|items                                             |freq                |support             |
+--------------------------------------------------+--------------------+--------------------+
|[false]                                           |2406204             |0.7572992453771997  |
|[true]                                            |771145              |0.24270075462280033 |
|[l_STREET]                                        |730157              |0.2298006923381725  |
|[c_THEFT]                                         |711649              |0.22397571056877918 |
|[c_SIMPLE ASSAULT]                                |653535              |0.2056856203079989  |
|[c_THEFT, false]                                  |637010              |0.20048474372818345 |
|[false, l_STREET]                                 |552065              |0.1737501923773561  |
|[l_RESIDENCE]                                     |524766              |0.16515843868583527 |
|[c_SIMPLE ASSAULT, false]                         |514583              |0.16195356569265762 |
+--------------------------------------------------+--------------------+--------------------+


################################## LOS ANGELES ##################################
+--------------------------------------------------+--------------------+--------------------+
|antecedent                                        |consequent          |confidence          |
+--------------------------------------------------+--------------------+--------------------+
|[c_THEFT]                                         |false               |0.9457315228417362  |
|[c_BURGLARY]                                      |false               |0.9442596176241399  |
|[l_STREET]                                        |false               |0.9150622589158828  |
|[va_45-64]                                        |false               |0.9105291086948708  |
|[vr_WHITE]                                        |false               |0.9065231483929597  |
|[va_25-44, vs_M]                                  |false               |0.9013381690205687  |
|[va_25-44]                                        |false               |0.8889534986167644  |
|[vs_M]                                            |false               |0.8869347841919597  |
|[l_SINGLE FAMILY DWELLING]                        |false               |0.8816980872757598  |
|[vs_F]                                            |false               |0.8786041773942216  |
|[va_25-44, vs_F]                                  |false               |0.8770392786714457  |
|[va_<18]                                          |false               |0.8667977685917245  |
|[vr_HISPANIC]                                     |false               |0.8573418019678418  |
|[va_25-44]                                        |vs_F                |0.5074108196960657  |
|[vr_HISPANIC]                                     |vs_F                |0.5065367444794779  |
|[false, va_25-44]                                 |vs_F                |0.5006102343809732  |
+--------------------------------------------------+--------------------+--------------------+

+--------------------------------------------------+--------------------+--------------------+
|items                                             |freq                |support             |
+--------------------------------------------------+--------------------+--------------------+
|[false]                                           |1880682             |0.8886571447877186  |
|[vs_M]                                            |974871              |0.4606446381665524  |
|[vs_F]                                            |889454              |0.42028352058456214 |
|[false, vs_M]                                     |864647              |0.4085617527414345  |
|[va_25-44]                                        |794514              |0.3754226087844035  |
|[false, vs_F]                                     |781478              |0.36926285687554666 |
|[vr_HISPANIC]                                     |725973              |0.3430357143700926  |
|[false, va_25-44]                                 |706286              |0.33373324153872835 |
|[false, vr_HISPANIC]                              |622407              |0.29409885749738107 |
|[c_THEFT]                                         |561910              |0.26551290235545777 |
|[c_THEFT, false]                                  |531416              |0.25110392147875626 |
|[vr_WHITE]                                        |510597              |0.24126655764088495 |
|[va_<18]                                          |473423              |0.22370115280352348 |
|[va_45-64]                                        |473003              |0.22350269500958977 |
|[l_STREET]                                        |472864              |0.22343701493016885 |
|[false, vr_WHITE]                                 |462868              |0.21871371943454648 |
|[false, l_STREET]                                 |432700              |0.20445877960742212 |
|[false, va_45-64]                                 |430683              |0.20350570967798332 |
|[l_SINGLE FAMILY DWELLING]                        |429283              |0.20284418369820428 |
|[false, va_<18]                                   |410362              |0.19390366008149054 |
|[va_25-44, vs_F]                                  |403145              |0.1904934936557296  |
|[va_25-44, vs_M]                                  |390982              |0.18474625044712067 |
|[c_SIMPLE ASSAULT]                                |381977              |0.18049122084147048 |
|[false, l_SINGLE FAMILY DWELLING]                 |378498              |0.17884732878171958 |
|[vr_HISPANIC, vs_F]                               |367732              |0.17376019399721876 |
|[vr_HISPANIC, vs_M]                               |358175              |0.16924433414811282 |
|[false, va_25-44, vs_F]                           |353574              |0.1670702762674247  |
|[false, va_25-44, vs_M]                           |352407              |0.16651884711142317 |
|[c_BURGLARY]                                      |347773              |0.16432919611835456 |
|[va_25-44, vr_HISPANIC]                           |338948              |0.16015921985296167 |
|[vr_BLACK]                                        |335342              |0.15845531793647366 |
|[c_BURGLARY, false]                               |328388              |0.15516942389119975 |
+--------------------------------------------------+--------------------+--------------------+

Data loading time:	7.46 s
Computing time:   	333.90 s
