
###### NEW YORK #####
+-------------------------------------------------------+------------+------------------+------------------+
|antecedent                                             |consequent  |confidence        |lift              |
|[FRONT OF STREET]                                      |[sa_UNKNOWN]|0.8412747753545987|1.1506480392599914|
|[INSIDE RESIDENCE - APT. HOUSE, sr_UNKNOWN, sa_UNKNOWN]|[ss_U]      |0.9149329525724041|1.763936965419784 |
|[sr_UNKNOWN, sa_UNKNOWN]                               |[ss_U]      |0.9265726846760066|1.7863776848926167|
|[sr_UNKNOWN, sa_UNKNOWN]                               |[vs_M]      |0.5162521640428946|1.133579948276847 |
|[vs_M, sr_UNKNOWN]                                     |[sa_UNKNOWN]|0.98502816805715  |1.3472657963779815|
|[vs_M, sr_UNKNOWN]                                     |[ss_U]      |0.9170620047475592|1.7680416528971608|
|[va_25-44, ss_U, vs_F]                                 |[sr_UNKNOWN]|0.9772896272384501|1.7469663104037016|
|[va_25-44, ss_U, vs_F]                                 |[sa_UNKNOWN]|0.9919288944877481|1.3567042195536798|
|[BROOKLYN, ss_U, sa_UNKNOWN]                           |[sr_UNKNOWN]|0.9804512094717116|1.7526178363128486|
+-------------------------------------------------------+------------+------------------+------------------+

+-------------------------------------------------------------+-------+
|items                                                        |freq   |
+-------------------------------------------------------------+-------+
|[sr_HISPANIC]                                                |659791 |
|[va_25-44]                                                   |2270109|
|[va_25-44, vs_F]                                             |1276441|
|[va_25-44, vs_F, sr_UNKNOWN]                                 |624440 |
|[va_25-44, vs_F, sr_UNKNOWN, sa_UNKNOWN]                     |600794 |
|[va_25-44, vs_F, sa_UNKNOWN]                                 |809681 |
|[va_25-44, vs_M]                                             |993668 |
|[va_25-44, vs_M, sr_UNKNOWN]                                 |639219 |
|[va_25-44, vs_M, sr_UNKNOWN, sa_UNKNOWN]                     |630251 |
|[va_25-44, vs_M, ss_U]                                       |604853 |
|[va_25-44, vs_M, ss_U, sr_UNKNOWN]                           |591108 |
|[va_25-44, vs_M, ss_U, sr_UNKNOWN, sa_UNKNOWN]               |590610 |
|[va_25-44, vs_M, ss_U, sa_UNKNOWN]                           |601674 |
|[va_25-44, vs_M, sa_UNKNOWN]                                 |811271 |
|[va_25-44, sr_UNKNOWN]                                       |1263659|
|[va_25-44, sr_UNKNOWN, sa_UNKNOWN]                           |1231045|
|[va_25-44, ss_U]                                             |1176398|
|[va_25-44, ss_U, vs_F]                                       |571545 |
|[va_25-44, ss_U, vs_F, sr_UNKNOWN]                           |558565 |
|[va_25-44, ss_U, vs_F, sr_UNKNOWN, sa_UNKNOWN]               |557820 |
|[va_25-44, ss_U, vs_F, sa_UNKNOWN]                           |566932 |
|[va_25-44, ss_U, sr_UNKNOWN]                                 |1149673|
|[va_25-44, ss_U, sr_UNKNOWN, sa_UNKNOWN]                     |1148430|
|[va_25-44, ss_U, sa_UNKNOWN]                                 |1168606|
|[va_25-44, sa_UNKNOWN]                                       |1620952|
|[INSIDE RESIDENCE - APT. HOUSE]                              |1202957|
|[INSIDE RESIDENCE - APT. HOUSE, vs_F]                        |796152 |
|[INSIDE RESIDENCE - APT. HOUSE, va_25-44]                    |574990 |
|[INSIDE RESIDENCE - APT. HOUSE, sr_UNKNOWN]                  |576687 |
|[INSIDE RESIDENCE - APT. HOUSE, sr_UNKNOWN, sa_UNKNOWN]      |551177 |
|[INSIDE RESIDENCE - APT. HOUSE, ss_U]                        |515651 |
|[INSIDE RESIDENCE - APT. HOUSE, ss_U, sr_UNKNOWN]            |505127 |
|[INSIDE RESIDENCE - APT. HOUSE, ss_U, sr_UNKNOWN, sa_UNKNOWN]|504290 |
|[INSIDE RESIDENCE - APT. HOUSE, ss_U, sa_UNKNOWN]            |511431 |
|[INSIDE RESIDENCE - APT. HOUSE, sa_UNKNOWN]                  |740827 |
|[MANHATTAN]                                                  |1063701|
|[MANHATTAN, vs_F]                                            |568681 |
|[MANHATTAN, sr_UNKNOWN]                                      |626824 |
|[MANHATTAN, sr_UNKNOWN, sa_UNKNOWN]                          |613618 |
|[MANHATTAN, ss_U]                                            |586183 |
|[MANHATTAN, ss_U, sr_UNKNOWN]                                |570081 |
|[MANHATTAN, ss_U, sr_UNKNOWN, sa_UNKNOWN]                    |569380 |
|[MANHATTAN, ss_U, sa_UNKNOWN]                                |581718 |
|[MANHATTAN, sa_UNKNOWN]                                      |818551 |
|[sa_UNKNOWN]                                                 |3652427|
|[vr_WHITE]                                                   |1197644|
|[vr_WHITE, vs_F]                                             |593656 |
|[vr_WHITE, va_25-44]                                         |552623 |
|[vr_WHITE, vs_M]                                             |603988 |
|[vr_WHITE, vs_M, sa_UNKNOWN]                                 |514994 |
|[vr_WHITE, sr_UNKNOWN]                                       |783087 |
|[vr_WHITE, sr_UNKNOWN, sa_UNKNOWN]                           |771308 |
|[vr_WHITE, ss_U]                                             |742440 |
|[vr_WHITE, ss_U, sr_UNKNOWN]                                 |729583 |
